Content,Issue,Valence,Account,High_IH,nuance,curiosity,respect
I think its crazy to insist teachers learn spanish to teach illegals,immigration,conservative,melody.89,No,0.069573,0.42389,0.286286
"We need the border wall. As a country, we need to be able to secure our borders, and I have felt that way for a long time.",immigration,conservative,free.thinker,No,0.229455,0.157795,0.85199
"Our current lack of control over our own borders and outdated immigration laws have not served us well lately (nor even served the immigrants themselves well). We need to update our immigration laws to be more selective, enforce them more consistently, and remove all the illegals within our borders.",immigration,conservative,free.thinker,No,0.370513,0.445212,0.563071
Crime rates are lower among illegals then citizens because there are more citizens then illegals.,immigration,conservative,Dr_ Williams,No,0.283368,0.496407,0.100423
I don't support immigration if people are coming here illegally,immigration,conservative,Dr_ Williams,No,0.094552,0.58655,0.489391
"While you can name a handful of brilliant, successful immigrants, they aren't representative of the 1 million we take in each year. We should drastically reduce that number if not decrease it to net zero.",immigration,conservative,Anderson_78,No,0.45626,0.504126,0.773558
Why does it have to be immigrants who forever change the cultural fabric of our country? We should preserve American identity & culture rather than make it a hodgepodge of different sects of world cultures with no overarching identity or commonality.,immigration,conservative,Anderson_78,No,0.32402,0.722095,0.338849
"I feel that there are certain people that are mentally incapable of handling a gun. There should be some system that helps sift the mentally ill out from those who are capable and able to use a gun appropriately. I'm not sure about the specifics, though...",gun control,liberal,enigma_898,Yes,0.42164,0.651571,0.476218
"I totally understand, it's not the guns fault. We shouldn't do away with guns because of recent incidents, but it seems to me that we need to look at those who use the guns. I think regulating who can get access to them could help solve this issue. I agree that people have the need to feel safe and they should secure their environment the way they feel comfortable",gun control,liberal,enigma_897,Yes,0.731288,0.763438,0.813696
"Others might disagree, but I think we need reasonable and uniform NATIONAL gun legislation. I think one reason for the failure of gun control laws in the US is the pathwork of state-to-state differences. I might be wrong, but I think Congress even forbid the government trackingof gun violence deaths.",gun control,liberal,All.You.Need.Is.Love,Yes,0.810655,0.745146,0.697453
"I'm not an expert on gun policy, but I did write research papers on the topic in college. While doing research, I was persuaded there was a lot misinformation put out by the NRA, which wa led by someone personally enriching himself from the sales of ammunition.",gun control,liberal,All.You.Need.Is.Love,Yes,0.713693,0.613401,0.458848
"I'm open to other ideas, but I wonder if we should require every gun sale to be registered and require gun manufacturers to include trigger locks at no additional charge to the consumer. It probably won't solve all our problems, but I think that we can take measures to reduce gun deaths without trampling on the 2nd Amendment.",gun control,liberal,All.You.Need.Is.Love,Yes,0.727639,0.834497,0.578168
Guns are dangerous,gun control,liberal,wobbles.34,No,0.134235,0.16288,0.650252
I think gun control will stop all the mass shootings.,gun control,liberal,wobbles.34,No,0.050319,0.185998,0.496018
I am for gun control: ban them in the US unless there are special circumstances to own them.,gun control,liberal,wobbles.34,No,0.210842,0.185998,0.546309
Background checks will stop some people who should not own guns from owning them and that's a start. We have finance laws we know people will break but we still do what we can to try to police it.,gun control,liberal,verbal.latte,No,0.652016,0.532202,0.753325
"We need mandatory training, licensing, and spaces where guns are and are not allowed.",gun control,liberal,verbal.latte,No,0.164624,0.070071,0.574377
"The problem is not guns; it's the people who have them. I know lots of people that I'd be comfortable having any type of gun. We need to restrict gun possession to responsible people - not drunks, or wife-beaters, not white supremesists. And not political extremeidts. Pretty obvious.",gun control,liberal,verbal.latte,No,0.483716,0.343675,0.402236
"A good guy with a gun can kill a bad guy with a gun, but what if there were no guns at all? Protection and security should be left to law enforcement.",gun control,liberal,velvet.vanity,No,0.368619,0.574192,0.529786
There should be gun bans even though gun enthusiasts will riot in response.,gun control,liberal,velvet.vanity,No,0.064609,0.064013,0.225764
"We need stricter gun laws for modern times. At this point people don't need the right to bare arms. As a civilization, we've moved past this primal state. Our laws need a reality makeover.",gun control,liberal,politics_junky,No,0.237005,0.097246,0.518907
I say yes to gun control. We must stand up to the NRA!,gun control,liberal,politics_junky,No,0.050319,0.12273,0.753325
"We live in a society and pay taxes and agree to social norms for protection. We do not live in the world as independent, armed encampments. It may cost me or a loved one our lives, but, living gun-free is the price for a civilized society.",gun control,liberal,politics_junky,No,0.561084,0.17825,0.769494
"If gun control means gun ban, then yes. Though I'm all for registration.",gun control,liberal,Taylor_C,No,0.256133,0.676999,0.520713
Automatic rifles need to be illegal.,gun control,liberal,Taylor_C,No,0.03909,0.080541,0.253241
"Stricter gun laws would help in many situations. It would definitely help decrease the incidence of gun violence. No one is saying that people will not be able to buy/own guns anymore. The government is not taking away your right to bear arms, it would just make it harder for those who may not be fit to own a gun to buy one.",gun control,liberal,Sam.theFan,No,0.604937,0.618024,0.441737
Military weapons should not be sold to the public. No one that isn't in the military needs an AK-47 or similar weapon. These types of weapons were specifically created for war and not for public use or entertainment.,gun control,liberal,Sam.theFan,No,0.402699,0.067021,0.136805
"I understand why some people want gun control. It would help insure guns aren't given to unstable people. But I also believe that as an American I have every right to defend my property, family, and myself with a gun or guns. I worry only criminals would have weapons.",gun control,conservative,trucks.n.stuff,Yes,0.743814,0.752661,0.761969
"I'm open to hearing other views, but it sure seems like gun control doesn't work. I've heard that the states with the strictest gun control has the highest crime rates and murder rates. I would think that's because only criminal have the guns.",gun control,conservative,trucks.n.stuff,Yes,0.658305,0.84034,0.216778
"I'm no psychologist, but I don't think that criminals care what the laws are and what they can or can't do. If that is true, they will obtain a gun by whatever means they can, carry it illegally, use it in a crime and possibly use it to rob you.",gun control,conservative,trucks.n.stuff,Yes,0.584967,0.604182,0.348521
"I try not to be naive that utopia exists or can exist. I know some people think differently, but I do believe in laws and rules and that people are basically good and follow them most of the time. I'd love to see data on this, but I feel like it's only the fringe that does not follow them and causes mayhem for the rest of us.",gun control,conservative,Jamie_W,Yes,0.713147,0.787396,0.834834
I might be wrong but it seems like the places that have the most mayhem are those with the most restrictive laws. I think about the pressure cooker bombs a few years back at the marathon.,gun control,conservative,Jamie_W,Yes,0.469923,0.685519,0.467501
"A little history will do you alot of good. Facts of history are not something someone made up, they are facts. Just like the fact vaccines help us fight disease, so a good guy trained with a gun is better than an unprepared bad guy. With proper training guns are safer than you driving while texting.",gun control,conservative,swifty.123,No,0.703995,0.284913,0.702256
"I get the reason some people want gun control. I want them to understand that where I live, we need guns. We are over run with coyotes. They kill our pets. We try and kill them. You have to use a weapon with range. What youd call an assault weapon is perfect for that, and they are popular here for coyotes. I just scare them with my gun, because I don't ever hit them",gun control,conservative,swifty.123,No,0.85073,0.70024,0.740159
"The 2nd amendment is to ward off tyrannical governments. What does China, North Korea and Nazi Germany have in common. Citizens couldn't and still can't defend themselves when their governments get out of hand. I'd rather have the 2A then not.",gun control,conservative,open_road,No,0.466008,0.67133,0.271993
"The 2nd Amendmentwas to prevent , from invasion and Tyrrany- They first thing the enemy want is your weapons!",gun control,conservative,open_road,No,0.289259,0.167985,0.476218
"I believe in in being cautious, but at what cost? It just seems like everyone wants to start taking our rights away. I hope that we don't lose the right to protect our families and friends.",gun control,conservative,open_road,No,0.229455,0.67133,0.846138
The 2nd amendment protects my rights and shall not be infringed upon,gun control,conservative,melody_91,No,0.073363,0.045932,0.585785
Chicago has some of the strictest gun control laws. That didn't stop the the rising gun related killings.,gun control,conservative,melody_90,No,0.400807,0.366919,0.2815
There is no benefit to gun control,gun control,conservative,melody_89,No,0.056164,0.173108,0.300484
Our 2nd amendment right separates us from every country out there. It was derived out of tyranny not hunting or target shooting. It was the 2nd ammendment after free speech. It was that important.,gun control,conservative,free_thinker,No,0.44078,0.080541,0.651799
Not one mass murderer was an NRA member. Why is that? Did you know the NRA is the oldest civil rights organization in America?,gun control,conservative,free_thinker,No,0.252279,0.763149,0.132817
No more gun control. Just enforce the laws that are ALREADY in place.,gun control,conservative,Dr. Williams,No,0.041287,0.127682,0.324495
I think guns law are already strick enough.,gun control,conservative,Dr. Williams,No,0.075922,0.236988,0.61543
"Folks say ""those who are a threat"" shouldn't have guns. Felons -- even white-collar, non-violent felons who have done their time, are denied forever the right to own or possess a gun. I don't think we should strip those rights forever.",gun control,conservative,Anderson.78,No,0.70376,0.61895,0.66581
Gun control will not stop criminals from getting black market guns.,gun control,conservative,Anderson.78,No,0.097953,0.064013,0.113183
"It's impossible to control illegal gun sales, just like illegal drugs on the streets. If the bad people want them, they will get them. But the people who typically get them for good intentions are to protect themselves against the bad people with bad intentions so it just comes full circle. Guns should be for protections against the bad but now the bad includes people with guns.",gun control,conservative,Anderson.78,No,0.77044,0.310889,0.50268
